Wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch: 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1776,-1576,-1408,-1384,-1504,-1808,-2768,-3564,-2908,-2344,-2140,-1936,-2256,-2540,-2700,-2952,-2668,-2284,-1932,-1380,-508,652,1372,1464,-340,-1784,-2644,-2408,-3936,-8164,-13740,-23008,-31544,-32768,-32768,-32768,-29748,-27300,-24720,-18240,-12988,-8896,-1404,7800,15404,21236,24992,27448,27512,28116,29524,31268,32252,31904,32767,31184,25688,21864,19936,19448,18984,17800,15344,11176,7476,3800,1716,-1216
4276,4368,4444,4392,4184,4172,4264,4380,4024,3808,3592,3356,3180,3072,3168,3440,3448,3360,2996,2564,2092,1468,752,576,40,-420,-452,312,1828,4060,5248,6756,8016,10024,7036,6720,11604,16412,16676,17064,22020,27992,31440,31388,30716,28836,25592,21360,16496,13664,11308,7076,144,-3328,-4984,-2864,-968,-1360,-1620,-1176,-980,92,1016,1800,2724,4364,6900,7964
-8624,-8804,-9280,-9856,-9796,-9456,-9232,-8636,-8848,-9292,-9104,-9304,-9300,-9192,-9472,-9428,-9288,-9064,-8892,-8588,-8956,-9616,-10140,-10044,-9568,-11564,-13456,-14268,-14508,-17568,-23692,-30444,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-30064,-23264,-19956,-16116,-11160,-6224,-2244,1044,4292,6832,7708,7528,10880,8656,9864,10892,11044,10292,8500,6652,4888,2372,-116,-3020,-6032,-9572,-11088
1067,1306,1444,1477,1635,1778,2057,2150,1928,1823,1589,1635,1886,2356,2719,2712,2256,1531,729,97,-504,-987,-1218,-1875,-3054,-3381,-1498,820,3179,6451,11786,18890,27733,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,29768,23660,16563,9158,1138,-5841,-4614,7995,2937,2481,-569,-6121,-11604,-17063,-22043,-25810,-27904,-26081,-21777,-15864,-12506,-13116
-2414,-2222,-1396,-57,982,1941,1641,211,-481,-362,554,1468,2029,2266,2459,1892,1041,277,-487,-1242,-1298,-155,2500,5879,7055,4356,849,367,1638,442,-1261,-1010,2687,7552,3989,-806,1077,838,-4665,-11108,-19065,-30648,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32475,-24627,-17297,3658,13188,17444,17897,14739,13154,13831,16214,20381,22391,21473,19641,20078,25637
3649,3510,3014,2498,2019,2027,2463,2883,2823,2339,1597,1230,1093,815,595,571,818,1145,1540,1932,2181,1928,1550,1917,3465,5774,7692,9944,13472,17563,19876,16683,7107,-12301,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-29768,-29297,-28371,-24640,-22248,-19409,-11130,1743,9925,16855,22887,27899,31438,32767,32767,32767,32767,32767,32767,32767,32767
Wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch: 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-204,-232,-368,-392,-440,-332,-272,-256,-232,4,-84,-168,-320,-448,-680,-408,-196,-248,-272,-164,148,68,396,700,904,856,1336,2116,3020,3048,2584,-1676,-6156,-11700,-26688,-32768,-32768,-32768,-32768,-29308,-22608,-18044,-15756,-8220,1076,11308,19344,26588,29140,30120,29816,28572,27648,28648,32240,22272,32767,31340,21440,15684,12200,13416,16940,19272,20024,18584,16476,13688
5536,5416,5356,5556,5612,5488,5524,5596,5364,5240,5368,5940,6280,6336,6280,6116,5824,5856,5856,5832,5896,5088,4696,4472,4064,2704,1224,572,984,1312,3016,4260,3704,4668,12756,15780,8456,6108,12680,18948,22380,23632,28904,32748,32767,32767,32767,32767,29672,25780,22908,19940,16144,11572,6008,-12416,-8228,-5896,-1800,-1324,-656,-140,380,-1152,-1696,-1320,-1308,-1480
-10040,-9916,-10064,-9820,-9480,-9592,-9500,-9484,-9616,-9556,-9324,-9044,-8772,-8732,-9064,-9416,-9924,-10044,-9988,-9876,-9716,-9476,-9384,-9484,-9728,-9756,-10496,-11112,-11392,-11828,-13404,-16428,-19644,-24396,-28480,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-29356,-27176,-23508,-16176,-7912,-1136,3600,6608,6836,6184,19608,10900,10260,11024,12168,15080,15632,14496,11024,7516,5276,3316,740
374,467,734,763,550,361,41,-264,-372,-465,-263,-91,-169,-540,-1024,-1235,-1048,-607,-372,-457,-1205,-1446,-1299,-1212,-1609,-1993,-1791,-1586,-1460,-623,500,1720,3457,6925,10100,17066,31507,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,31880,25202,14304,1072,-9479,-10850,24034,10511,9492,9366,6569,1078,-7502,-19489,-27931,-31760,-32768,-32768,-32768
